,open_DE,high_DE,low_DE,close_DE,volume_DE
2024-05-24 13:49:00,372.1200,372.1200,372.1200,372.1200,448
2024-05-24 13:50:00,372.1349,372.1349,372.0704,372.1300,1212
2024-05-24 13:51:00,372.1399,372.1399,372.1399,372.1399,1067
2024-05-24 13:52:00,372.1498,372.1498,372.0506,372.0506,1393
2024-05-24 13:53:00,372.0704,372.0885,371.9513,372.0885,1898
2024-05-24 13:54:00,372.0406,372.0406,371.9414,371.9828,4761
2024-05-24 13:55:00,372.0704,372.3483,372.0158,372.3434,5160
2024-05-24 13:56:00,372.3533,372.3533,372.3483,372.3483,442
2024-05-24 13:57:00,372.3632,372.3781,372.3632,372.3781,1366
2024-05-24 13:58:00,372.2888,372.2888,372.2590,372.2590,1756
2024-05-24 13:59:00,372.2292,372.2292,372.0903,372.0903,1878
2024-05-24 14:00:00,372.1548,372.2788,372.1200,372.1597,2662
2024-05-24 14:01:00,372.1647,372.3136,372.1647,372.2937,2200
2024-05-24 14:02:00,372.3285,372.5071,372.3285,372.4377,2558
2024-05-24 14:03:00,372.4178,372.5468,372.4178,372.4625,866
2024-05-24 14:04:00,372.5766,372.5766,372.4476,372.4575,529
2024-05-24 14:05:00,372.4625,372.4625,372.3682,372.4277,1505
2024-05-24 14:06:00,372.5270,372.5766,372.4525,372.4873,2269
2024-05-24 14:07:00,372.5220,372.5220,372.5171,372.5171,698
2024-05-24 14:09:00,372.5022,372.5642,372.4873,372.4873,489
2024-05-24 14:10:00,372.5468,372.5468,372.2342,372.2342,2589
2024-05-24 14:11:00,372.2491,372.2491,372.2094,372.2094,999
2024-05-24 14:12:00,372.2640,372.3483,372.2640,372.3483,1542
2024-05-24 14:13:00,372.2987,372.2987,372.2987,372.2987,271
2024-05-24 14:14:00,372.2838,372.3682,372.2838,372.3161,2124
2024-05-24 14:15:00,372.2094,372.2094,371.9414,371.9414,3456
2024-05-24 14:16:00,371.8709,371.8709,371.8709,371.8709,654
2024-05-24 14:17:00,371.8520,372.0108,371.8424,371.9960,2798
2024-05-24 14:18:00,372.0506,372.0506,371.8719,371.8719,1819
2024-05-24 14:19:00,372.0406,372.0406,372.0406,372.0406,343
2024-05-24 14:20:00,371.9215,371.9215,371.8917,371.8917,998
2024-05-24 14:21:00,371.8223,371.8223,371.6734,371.7875,2914
2024-05-24 14:22:00,371.6734,371.7531,371.4451,371.4481,4687
2024-05-24 14:24:00,371.4351,371.4600,371.4351,371.4600,707
2024-05-24 14:25:00,371.4749,371.4947,371.4128,371.4550,2219
2024-05-24 14:26:00,371.4649,371.5940,371.4649,371.5245,1673
2024-05-24 14:27:00,371.5096,371.6535,371.3955,371.6088,2713
2024-05-24 14:28:00,371.5046,371.5046,371.4054,371.5046,1345
2024-05-24 14:29:00,371.4947,371.4947,371.4947,371.4947,272
2024-05-24 14:30:00,371.3855,371.4726,371.3319,371.4726,2824
2024-05-24 14:31:00,371.4649,371.6634,371.4550,371.5791,3885
2024-05-24 14:32:00,371.5543,371.5791,371.5543,371.5791,884
