,open_KO,high_KO,low_KO,close_KO,volume_KO
2024-08-13 17:59:00,67.9038,67.9038,67.8889,67.8889,29
2024-08-13 18:00:00,67.9137,67.9137,67.9137,67.9137,2
2024-08-13 18:02:00,67.8988,67.9137,67.8988,67.9137,5
2024-08-13 18:03:00,67.8889,67.8889,67.8889,67.8889,2
2024-08-13 18:04:00,67.9137,67.9137,67.8988,67.9137,10
2024-08-13 18:05:00,67.8889,67.8889,67.8889,67.8889,3
2024-08-13 18:07:00,67.8911,67.8988,67.8889,67.8988,605
2024-08-13 18:08:00,67.9088,67.9386,67.9088,67.9386,5
2024-08-13 18:10:00,67.8929,67.8929,67.8929,67.8929,5
2024-08-13 18:12:00,67.9137,67.9137,67.9137,67.9137,1
2024-08-13 18:13:00,67.9088,67.9137,67.9088,67.9137,2
2024-08-13 18:14:00,67.9137,67.9137,67.8889,67.9137,9
2024-08-13 18:15:00,67.9386,67.9386,67.9137,67.9137,2
2024-08-13 18:17:00,67.9187,67.9187,67.9187,67.9187,1
2024-08-13 18:18:00,67.9137,67.9137,67.8889,67.8988,5
2024-08-13 18:19:00,67.8889,67.8988,67.8889,67.8988,11
2024-08-13 18:21:00,67.9137,67.9137,67.8988,67.8988,3
2024-08-13 18:22:00,67.9137,67.9137,67.9137,67.9137,1
2024-08-13 18:23:00,67.8889,67.9386,67.8889,67.8988,12
2024-08-13 18:24:00,67.8889,67.9137,67.8889,67.9137,5
2024-08-13 18:25:00,67.8889,67.8889,67.8889,67.8889,3
2024-08-13 18:27:00,67.9137,67.9386,67.9137,67.9386,16
2024-08-13 18:28:00,67.9137,67.9137,67.9137,67.9137,2
2024-08-13 18:29:00,67.8895,67.9137,67.8895,67.9137,7
2024-08-13 18:30:00,67.9982,67.9982,67.9982,67.9982,2313416
2024-08-13 18:31:00,67.9187,67.9187,67.8889,67.8889,3
2024-08-13 18:32:00,67.9187,67.9187,67.9187,67.9187,1
2024-08-13 18:33:00,67.9386,67.9386,67.8889,67.9137,18
2024-08-13 18:34:00,67.9137,67.9137,67.9137,67.9137,1
2024-08-13 18:35:00,67.9088,67.9137,67.9088,67.9137,2
2024-08-13 18:36:00,67.9386,67.9386,67.9386,67.9386,10
2024-08-13 18:37:00,67.9386,67.9386,67.9088,67.9088,3
2024-08-13 18:38:00,67.9386,67.9386,67.9386,67.9386,1
2024-08-13 18:39:00,67.9373,67.9373,67.9088,67.9187,15
2024-08-13 18:40:00,67.9137,67.9386,67.9137,67.9137,3
2024-08-13 18:41:00,67.9137,67.9137,67.8889,67.8889,14
2024-08-13 18:44:00,67.9137,67.9137,67.9137,67.9137,2
2024-08-13 18:45:00,67.9137,67.9137,67.9088,67.9088,8
2024-08-13 18:47:00,67.9137,67.9137,67.9137,67.9137,1
2024-08-13 18:48:00,67.9386,67.9386,67.8889,67.8889,181
2024-08-13 18:49:00,67.9137,67.9137,67.9137,67.9137,1
2024-08-13 18:50:00,67.8889,67.8889,67.8889,67.8889,3
2024-08-13 18:51:00,67.9137,67.9137,67.9137,67.9137,1
2024-08-13 18:52:00,67.9137,67.9137,67.9137,67.9137,1
2024-08-13 18:53:00,67.9386,67.9386,67.9386,67.9386,1
2024-08-13 18:54:00,67.9386,67.9386,67.9137,67.9137,9
2024-08-13 18:56:00,67.9088,67.9088,67.9088,67.9088,2
2024-08-13 18:57:00,67.8988,67.9187,67.8988,67.8988,5
2024-08-13 18:59:00,67.9088,67.9187,67.8988,67.9187,3
2024-08-13 19:00:00,67.9982,67.9982,67.8889,67.8889,2313426
2024-08-13 19:01:00,67.8988,67.9088,67.8988,67.8988,3
2024-08-13 19:02:00,67.9088,67.9088,67.9088,67.9088,1
2024-08-13 19:03:00,67.8889,67.8889,67.8889,67.8889,5
2024-08-13 19:04:00,67.8889,67.8889,67.8889,67.8889,1
2024-08-13 19:05:00,67.8988,67.8988,67.8988,67.8988,10
2024-08-13 19:06:00,67.8988,67.9088,67.8988,67.9088,170
2024-08-13 19:08:00,67.8988,67.9187,67.8988,67.9187,4
2024-08-13 19:09:00,67.9187,67.9187,67.9187,67.9187,1
2024-08-13 19:10:00,67.9187,67.9386,67.9187,67.9187,39
2024-08-13 19:11:00,67.9187,67.9187,67.8988,67.8988,23
2024-08-13 19:12:00,67.9286,67.9286,67.9286,67.9286,11
2024-08-13 19:14:00,67.9187,67.9684,67.9187,67.9684,106
2024-08-13 19:16:00,67.9684,67.9684,67.9386,67.9535,4
2024-08-13 19:17:00,67.9535,67.9535,67.9535,67.9535,1
2024-08-13 19:18:00,67.9535,67.9535,67.9535,67.9535,1
2024-08-13 19:19:00,67.9386,67.9386,67.9386,67.9386,2
2024-08-13 19:20:00,67.9386,67.9684,67.9386,67.9684,2
