,open_GOOG,high_GOOG,low_GOOG,close_GOOG,volume_GOOG
2024-05-09 07:05:00,169.9999,169.9999,169.9999,169.9999,5
2024-05-09 07:06:00,169.9799,170.0099,169.9799,170.0099,26
2024-05-09 07:07:00,170.2592,170.2692,170.1794,170.1794,80
2024-05-09 07:08:00,170.2193,170.2193,170.1595,170.1595,8
2024-05-09 07:09:00,170.1495,170.1495,170.0897,170.0897,766
2024-05-09 07:10:00,170.1196,170.2592,170.1196,170.2193,107
2024-05-09 07:11:00,170.2393,170.2592,170.1096,170.1296,66
2024-05-09 07:12:00,170.2293,170.2293,170.2293,170.2293,50
2024-05-09 07:14:00,170.2493,170.2493,170.2493,170.2493,1
2024-05-09 07:15:00,170.2792,170.2991,170.2293,170.2991,453
2024-05-09 07:17:00,170.2692,170.3091,170.1695,170.2592,315
2024-05-09 07:20:00,170.1994,170.3091,170.1994,170.3091,2
2024-05-09 07:24:00,170.1894,170.1894,170.1794,170.1794,60
2024-05-09 07:25:00,170.1994,170.1994,170.1794,170.1794,111
2024-05-09 07:27:00,170.1395,170.1395,170.1395,170.1395,6
2024-05-09 07:29:00,170.1994,170.1994,170.1994,170.1994,50
2024-05-09 07:30:00,170.1794,170.1994,170.1296,170.1296,13
2024-05-09 07:34:00,170.1994,170.1994,170.1994,170.1994,5
2024-05-09 07:35:00,170.2493,170.2493,170.2493,170.2493,1
2024-05-09 07:37:00,170.3390,170.3789,170.3390,170.3789,18
2024-05-09 07:38:00,170.4488,170.4488,170.4089,170.4089,2
2024-05-09 07:39:00,170.3889,170.3889,170.3889,170.3889,6
2024-05-09 07:40:00,170.4189,170.4388,170.4189,170.4388,101
2024-05-09 07:41:00,170.4488,170.4488,170.4488,170.4488,1
2024-05-09 07:42:00,170.4787,170.5086,170.4488,170.5086,319
2024-05-09 07:43:00,170.5186,170.5386,170.5186,170.5286,113
2024-05-09 07:44:00,170.5485,170.5585,170.5485,170.5585,70
2024-05-09 07:45:00,170.5485,170.5785,170.5485,170.5785,278
2024-05-09 07:48:00,170.5685,170.5685,170.5685,170.5685,4
2024-05-09 07:49:00,170.5585,170.5685,170.5585,170.5585,48
2024-05-09 07:51:00,170.5585,170.5585,170.5585,170.5585,5
2024-05-09 07:52:00,170.5086,170.5086,170.5086,170.5086,2
2024-05-09 07:54:00,170.5685,170.5685,170.5685,170.5685,1
2024-05-09 07:55:00,170.5386,170.5386,170.5086,170.5086,17
2024-05-09 07:56:00,170.5186,170.5286,170.5086,170.5086,20
2024-05-09 07:58:00,170.5685,170.5785,170.5685,170.5785,51
2024-05-09 08:00:00,170.7411,170.8179,169.7804,170.6084,2849
2024-05-09 08:01:00,170.4887,170.6882,169.8203,170.5685,1222
2024-05-09 08:02:00,170.4687,170.7381,170.3789,170.7181,1331
2024-05-09 08:03:00,170.5086,170.6882,170.4288,170.5086,319
2024-05-09 08:04:00,170.3789,170.6882,170.3789,170.5785,345
2024-05-09 08:06:00,170.5336,170.5336,170.5336,170.5336,1
2024-05-09 08:07:00,170.5685,170.5685,170.5086,170.5086,37
2024-05-09 08:08:00,170.5685,170.5685,170.5386,170.5386,424
2024-05-09 08:09:00,170.5585,170.5585,170.4887,170.4887,274
2024-05-09 08:10:00,170.4887,170.4887,170.4887,170.4887,1
2024-05-09 08:11:00,170.5685,170.5685,170.5685,170.5685,8
2024-05-09 08:12:00,170.5685,170.5685,170.5286,170.5286,3
2024-05-09 08:13:00,170.5086,170.5386,170.5086,170.5386,75
2024-05-09 08:14:00,170.5286,170.5286,170.5285,170.5285,201
2024-05-09 08:15:00,170.5186,170.5186,170.4789,170.4789,51
2024-05-09 08:16:00,170.5136,170.5785,170.4887,170.5785,119
2024-05-09 08:17:00,170.5186,170.5785,170.5186,170.5785,26
