,open_F,high_F,low_F,close_F,volume_F
2024-04-18 18:07:00,11.7525,11.7525,11.7525,11.7525,1
2024-04-18 18:08:00,11.7525,11.7525,11.7525,11.7525,6
2024-04-18 18:10:00,11.7428,11.7524,11.7428,11.7428,164
2024-04-18 18:11:00,11.7428,11.7525,11.7428,11.7525,507
2024-04-18 18:12:00,11.7525,11.7525,11.7330,11.7330,37
2024-04-18 18:13:00,11.7428,11.7525,11.7428,11.7525,12
2024-04-18 18:14:00,11.7428,11.7525,11.7428,11.7428,74
2024-04-18 18:15:00,11.7525,11.7525,11.7525,11.7525,3
2024-04-18 18:17:00,11.7525,11.7525,11.7428,11.7428,70
2024-04-18 18:18:00,11.7330,11.7428,11.7330,11.7428,3
2024-04-18 18:19:00,11.7428,11.7428,11.7428,11.7428,9
2024-04-18 18:20:00,11.7428,11.7428,11.7428,11.7428,43
2024-04-18 18:21:00,11.7428,11.7428,11.7330,11.7330,10006
2024-04-18 18:22:00,11.7525,11.7525,11.7428,11.7428,3
2024-04-18 18:23:00,11.7428,11.7428,11.7428,11.7428,2
2024-04-18 18:24:00,11.7428,11.7525,11.7428,11.7428,7
2024-04-18 18:25:00,11.7525,11.7525,11.7330,11.7428,37
2024-04-18 18:26:00,11.7330,11.7525,11.7330,11.7525,68
2024-04-18 18:27:00,11.7428,11.7525,11.7330,11.7525,5
2024-04-18 18:28:00,11.7525,11.7525,11.7330,11.7330,29
2024-04-18 18:30:00,11.7330,11.7525,11.7330,11.7525,1992010
2024-04-18 18:31:00,11.7525,11.7525,11.7330,11.7330,1116
2024-04-18 18:33:00,11.7330,11.7428,11.7330,11.7330,10661
2024-04-18 18:34:00,11.7379,11.7379,11.7379,11.7379,1
2024-04-18 18:35:00,11.7428,11.7428,11.7379,11.7379,9
2024-04-18 18:36:00,11.7330,11.7428,11.7330,11.7428,1641
2024-04-18 18:37:00,11.7428,11.7428,11.7379,11.7379,302
2024-04-18 18:38:00,11.7428,11.7428,11.7428,11.7428,4
2024-04-18 18:39:00,11.7330,11.7379,11.7330,11.7379,196
2024-04-18 18:40:00,11.7428,11.7428,11.7428,11.7428,3
2024-04-18 18:42:00,11.7428,11.7428,11.7330,11.7330,42049
2024-04-18 18:43:00,11.7428,11.7428,11.7428,11.7428,1
2024-04-18 18:44:00,11.7428,11.7428,11.7428,11.7428,139
2024-04-18 18:45:00,11.7330,11.7428,11.7330,11.7331,567
2024-04-18 18:46:00,11.7330,11.7428,11.7330,11.7330,10
2024-04-18 18:47:00,11.7428,11.7428,11.7330,11.7379,10
2024-04-18 18:48:00,11.7428,11.7428,11.7428,11.7428,4
2024-04-18 18:49:00,11.7379,11.7428,11.7379,11.7428,35
2024-04-18 18:50:00,11.7428,11.7428,11.7428,11.7428,1
2024-04-18 18:51:00,11.7428,11.7428,11.7379,11.7428,4
2024-04-18 18:52:00,11.7428,11.7428,11.7428,11.7428,17
2024-04-18 18:53:00,11.7428,11.7428,11.7330,11.7379,31
2024-04-18 18:54:00,11.7428,11.7428,11.7330,11.7330,4857
2024-04-18 18:55:00,11.7233,11.7330,11.7233,11.7330,50
2024-04-18 18:56:00,11.7282,11.7330,11.7282,11.7330,2
2024-04-18 18:57:00,11.7233,11.7233,11.7233,11.7233,250
2024-04-18 18:58:00,11.7330,11.7330,11.7330,11.7330,1
2024-04-18 18:59:00,11.7233,11.7282,11.7233,11.7282,55
2024-04-18 19:00:00,11.7330,11.7330,11.7330,11.7330,1992071
2024-04-18 19:01:00,11.7330,11.7330,11.7233,11.7233,21
2024-04-18 19:03:00,11.7233,11.7233,11.7233,11.7233,100
2024-04-18 19:04:00,11.7282,11.7282,11.7282,11.7282,1
2024-04-18 19:05:00,11.7330,11.7330,11.7233,11.7233,10
2024-04-18 19:06:00,11.7330,11.7330,11.7233,11.7233,13
2024-04-18 19:07:00,11.7233,11.7330,11.7233,11.7330,68
2024-04-18 19:08:00,11.7330,11.7330,11.7233,11.7233,293
2024-04-18 19:09:00,11.7136,11.7233,11.7136,11.7233,226
2024-04-18 19:10:00,11.7233,11.7233,11.7184,11.7184,5
2024-04-18 19:11:00,11.7139,11.7233,11.7139,11.7184,227
2024-04-18 19:12:00,11.7233,11.7330,11.7136,11.7233,1297
2024-04-18 19:13:00,11.7136,11.7136,11.7136,11.7136,2050
2024-04-18 19:14:00,11.7233,11.7233,11.7136,11.7233,87
2024-04-18 19:15:00,11.7184,11.7233,11.7136,11.7184,64
2024-04-18 19:16:00,11.7233,11.7233,11.7233,11.7233,6
2024-04-18 19:17:00,11.7233,11.7233,11.7184,11.7233,63
2024-04-18 19:18:00,11.7136,11.7233,11.7136,11.7233,4
2024-04-18 19:20:00,11.7136,11.7136,11.7136,11.7136,120
