,open_JNJ,high_JNJ,low_JNJ,close_JNJ,volume_JNJ
2024-05-03 14:55:00,146.6921,146.7019,146.6232,146.6724,14162
2024-05-03 14:56:00,146.6822,146.6822,146.6576,146.6576,7735
2024-05-03 14:57:00,146.6133,146.6527,146.6133,146.6232,6271
2024-05-03 14:58:00,146.6232,146.6724,146.6232,146.6529,9958
2024-05-03 14:59:00,146.6534,146.6822,146.6330,146.6478,5013
2024-05-03 15:00:00,146.6626,146.6822,146.6626,146.6626,5966
2024-05-03 15:01:00,146.6527,146.6527,146.6231,146.6232,17071
2024-05-03 15:02:00,146.6133,146.6527,146.5937,146.6331,7832
2024-05-03 15:03:00,146.6330,146.6626,146.6181,146.6429,7501
2024-05-03 15:04:00,146.6429,146.6822,146.6330,146.6626,7853
2024-05-03 15:05:00,146.6576,146.7708,146.6527,146.7610,12609
2024-05-03 15:06:00,146.7708,146.8028,146.7512,146.8004,8341
2024-05-03 15:07:00,146.8004,146.8693,146.8004,146.8693,13016
2024-05-03 15:08:00,146.8594,146.8644,146.8102,146.8102,12753
2024-05-03 15:09:00,146.8201,146.8299,146.7620,146.8299,13535
2024-05-03 15:10:00,146.8398,146.8693,146.8398,146.8693,10054
2024-05-03 15:11:00,146.8791,146.8791,146.8102,146.8102,6665
2024-05-03 15:12:00,146.8201,146.8201,146.7413,146.7610,6353
2024-05-03 15:13:00,146.7610,146.7708,146.7413,146.7512,9683
2024-05-03 15:14:00,146.7512,146.7955,146.7413,146.7512,8189
2024-05-03 15:15:00,146.7708,146.7905,146.7216,146.7315,10951
2024-05-03 15:16:00,146.7118,146.7315,146.6921,146.6921,7994
2024-05-03 15:17:00,146.6724,146.7216,146.6724,146.7019,9050
2024-05-03 15:18:00,146.6921,146.7413,146.6527,146.7413,11773
2024-05-03 15:19:00,146.7512,146.8201,146.7512,146.8102,6958
2024-05-03 15:20:00,146.8201,146.8594,146.7905,146.7905,18252
2024-05-03 15:21:00,146.7905,146.8004,146.7807,146.7905,7389
2024-05-03 15:22:00,146.7905,146.7905,146.7019,146.7462,16667
2024-05-03 15:23:00,146.7364,146.7364,146.7019,146.7315,5512
2024-05-03 15:24:00,146.7315,146.7610,146.7118,146.7610,8687
2024-05-03 15:25:00,146.7708,146.8201,146.7684,146.8201,12863
2024-05-03 15:26:00,146.8299,146.8545,146.8250,146.8299,8071
