,open_GS,high_GS,low_GS,close_GS,volume_GS
2024-07-24 14:38:00,488.3786,488.3786,488.2021,488.2021,1912
2024-07-24 14:39:00,488.2991,488.3189,488.1002,488.2295,1255
2024-07-24 14:40:00,488.1201,488.3587,488.0803,488.3587,2031
2024-07-24 14:41:00,488.5178,488.5178,488.2991,488.4084,1881
2024-07-24 14:42:00,488.2891,488.4879,488.2494,488.3637,3076
2024-07-24 14:43:00,488.2494,488.2494,487.8070,487.8070,3219
2024-07-24 14:44:00,487.7896,487.8219,487.6230,487.7821,2387
2024-07-24 14:45:00,487.6230,487.9909,487.6131,487.9511,3056
2024-07-24 14:46:00,487.9412,487.9610,487.5634,487.5634,3560
2024-07-24 14:47:00,487.5336,487.7324,487.4043,487.7324,2215
2024-07-24 14:48:00,487.5435,487.6280,487.4143,487.4143,3222
2024-07-24 14:49:00,487.3049,487.3347,486.8377,487.3347,5620
2024-07-24 14:50:00,487.1737,487.2453,486.6189,486.6488,3286
2024-07-24 14:51:00,486.6488,486.7059,486.3008,486.3108,2846
2024-07-24 14:52:00,486.3157,486.5295,486.2412,486.4648,4078
2024-07-24 14:53:00,486.3108,486.4897,486.2312,486.4897,2460
2024-07-24 14:54:00,486.2809,486.5692,486.2809,486.4798,3376
2024-07-24 14:55:00,486.6388,486.8874,486.6388,486.8874,1163
2024-07-24 14:56:00,486.6488,486.8675,486.4499,486.6587,2323
2024-07-24 14:57:00,486.4448,486.7581,486.4448,486.7432,790
2024-07-24 14:58:00,486.7382,486.8874,486.7382,486.8774,1103
2024-07-24 14:59:00,486.7681,486.8377,486.6090,486.6090,4048
2024-07-24 15:00:00,486.6686,486.7681,486.5096,486.5096,1839
2024-07-24 15:01:00,486.4201,486.4300,486.3108,486.4300,1946
2024-07-24 15:02:00,486.4996,486.6040,486.4570,486.5493,2086
2024-07-24 15:03:00,486.5493,486.5493,486.3704,486.3704,629
2024-07-24 15:04:00,486.4151,486.4151,486.4151,486.4151,709
2024-07-24 15:05:00,486.5394,486.6388,486.3207,486.3505,2832
2024-07-24 15:06:00,486.3704,486.3704,486.2710,486.2710,568
2024-07-24 15:07:00,486.3505,486.3505,486.1238,486.1238,1550
2024-07-24 15:08:00,486.1020,486.1020,485.7043,485.7043,2037
2024-07-24 15:09:00,485.7590,486.1219,485.6993,485.9330,3850
2024-07-24 15:10:00,485.7838,485.9280,485.7341,485.9280,2619
2024-07-24 15:11:00,485.9379,486.0523,485.7441,485.7441,1755
2024-07-24 15:12:00,485.8634,485.8833,485.7457,485.8137,3133
2024-07-24 15:13:00,485.9130,486.0125,485.7018,485.7143,6033
2024-07-24 15:14:00,485.6795,485.7540,485.6695,485.7540,1210
2024-07-24 15:15:00,485.6745,485.7988,485.5850,485.7988,2649
2024-07-24 15:16:00,486.1219,486.3257,485.9081,486.1318,8828
2024-07-24 15:17:00,486.3108,486.4499,485.9827,485.9827,2646
2024-07-24 15:18:00,486.1616,486.1616,485.7341,485.9230,2286
2024-07-24 15:19:00,485.9031,485.9827,485.7938,485.9827,1895
2024-07-24 15:20:00,486.1716,486.3406,486.1517,486.3406,3457
2024-07-24 15:21:00,486.3306,486.9768,486.3306,486.8128,4765
2024-07-24 15:22:00,486.5891,486.8277,486.5891,486.5991,2605
2024-07-24 15:23:00,486.6836,486.9570,486.6836,486.9570,3279
2024-07-24 15:24:00,486.8973,486.9470,486.7581,486.9470,943
2024-07-24 15:25:00,486.7382,486.7979,486.3727,486.4698,4104
2024-07-24 15:26:00,486.2809,486.2859,486.2014,486.2809,1602
2024-07-24 15:27:00,486.2213,486.2213,485.9230,486.0075,1653
2024-07-24 15:28:00,485.7898,485.8882,485.6844,485.8882,4079
2024-07-24 15:29:00,485.7043,485.7242,485.4558,485.4856,3903
2024-07-24 15:30:00,485.5651,485.6645,485.5154,485.5353,1878
2024-07-24 15:31:00,485.6844,485.6844,485.3365,485.3862,2508
2024-07-24 15:32:00,485.3216,485.6049,485.3216,485.3315,3626
2024-07-24 15:33:00,485.3862,485.8485,485.3862,485.6745,2984
2024-07-24 15:34:00,485.7143,485.7938,485.5552,485.7491,3671
2024-07-24 15:35:00,485.9827,485.9827,485.6844,485.8435,6085
2024-07-24 15:36:00,485.8534,485.8534,485.6924,485.7143,2115
2024-07-24 15:37:00,485.8336,485.9628,485.6944,485.9628,4417
2024-07-24 15:38:00,485.8336,485.8634,485.6248,485.6844,2625
2024-07-24 15:39:00,485.6148,485.6546,485.3017,485.3017,1581
2024-07-24 15:40:00,485.3762,485.7441,485.3762,485.6447,5645
2024-07-24 15:41:00,485.8236,485.8236,485.3663,485.3762,4979
2024-07-24 15:42:00,485.4011,485.4955,485.1893,485.1893,4282
2024-07-24 15:43:00,485.2967,485.3762,485.2967,485.3663,2747
2024-07-24 15:44:00,485.4061,485.4110,485.1376,485.1675,4252
