,open_MSFT,high_MSFT,low_MSFT,close_MSFT,volume_MSFT
2024-08-06 10:28:00,401.7901,402.5130,401.7901,402.1237,98933
2024-08-06 10:29:00,402.0438,402.4032,401.0855,401.1804,89784
2024-08-06 10:30:00,401.1804,401.5647,400.6862,400.8959,64834
2024-08-06 10:31:00,400.7883,401.2253,400.5964,400.8160,41088
2024-08-06 10:32:00,400.9158,401.2752,400.6563,401.0955,75822
2024-08-06 10:33:00,400.9657,401.4050,400.6945,401.0256,51083
2024-08-06 10:34:00,400.9258,400.9857,400.6763,400.7112,88264
2024-08-06 10:35:00,400.8410,401.7643,400.7960,401.6645,92015
2024-08-06 10:36:00,401.6046,401.6745,401.2668,401.4698,73946
2024-08-06 10:37:00,401.4050,403.0021,401.4050,403.0021,63853
2024-08-06 10:38:00,403.0520,403.2816,402.7020,402.8524,52030
2024-08-06 10:39:00,402.8624,403.0420,402.2734,402.9622,44964
2024-08-06 10:40:00,402.9173,403.0420,402.6527,402.9223,77442
2024-08-06 10:41:00,402.9821,403.0420,402.2734,402.4431,80489
2024-08-06 10:42:00,402.4980,402.5230,402.1436,402.4930,56244
2024-08-06 10:43:00,402.4830,402.5429,402.3129,402.4830,46269
2024-08-06 10:44:00,402.4182,402.7226,402.3433,402.5230,110673
2024-08-06 10:45:00,402.4830,403.3315,402.2934,403.1718,56556
2024-08-06 10:46:00,403.2317,403.4064,403.1119,403.1669,85932
2024-08-06 10:47:00,403.0521,403.4014,402.7625,403.3215,85775
2024-08-06 10:48:00,403.2716,403.4313,402.8723,402.8857,47042
2024-08-06 10:49:00,402.9422,403.9155,402.8823,403.4313,182140
2024-08-06 10:50:00,403.4014,403.7009,402.9422,403.5731,52350
2024-08-06 10:51:00,403.5967,403.5967,402.6627,402.8424,42553
2024-08-06 10:52:00,402.8723,403.3914,402.8125,403.2317,25849
2024-08-06 10:53:00,403.2217,403.9604,403.2067,403.4471,47580
2024-08-06 10:54:00,403.3665,403.6709,403.1219,403.1721,49958
2024-08-06 10:55:00,403.1968,403.1968,402.9123,403.0720,55697
2024-08-06 10:56:00,403.0420,403.6310,402.9422,403.3914,56157
2024-08-06 10:57:00,403.4074,403.6209,403.1019,403.4500,31101
2024-08-06 10:58:00,403.3736,403.5062,402.8426,402.9422,37378
2024-08-06 10:59:00,402.8524,403.3814,402.8524,403.2018,38863
2024-08-06 11:00:00,403.2317,403.6410,403.0121,403.2417,39398
2024-08-06 11:01:00,403.3016,403.8706,403.2149,403.8706,30923
2024-08-06 11:02:00,403.8303,404.0403,403.3315,403.6310,54181
2024-08-06 11:03:00,403.7009,403.8157,402.9004,403.1868,43557
2024-08-06 11:04:00,403.1868,403.5761,403.1419,403.4313,30363
2024-08-06 11:05:00,403.4513,403.7706,403.2917,403.6510,31830
2024-08-06 11:06:00,403.6909,404.1146,403.6909,403.8805,49012
2024-08-06 11:07:00,403.9504,403.9904,403.7308,403.9904,32156
2024-08-06 11:08:00,404.0203,404.2599,403.7707,403.9305,63129
