,open_AAPL,high_AAPL,low_AAPL,close_AAPL,volume_AAPL
2024-09-03 08:02:00,227.8025,229.0000,227.6500,227.6500,1833
2024-09-03 08:03:00,227.7145,227.7300,227.6000,227.6600,699
2024-09-03 08:04:00,227.7000,227.7200,227.5900,227.6550,860
2024-09-03 08:05:00,227.6000,227.7200,227.4000,227.4000,4165
2024-09-03 08:06:00,227.4800,227.6000,227.4200,227.4700,3870
2024-09-03 08:07:00,227.5750,227.7000,227.4500,227.4500,545
2024-09-03 08:08:00,227.4700,227.7000,227.4600,227.6000,200
2024-09-03 08:09:00,227.5000,227.7200,227.5000,227.6900,1067
2024-09-03 08:10:00,227.5800,227.7200,227.5800,227.7000,578
2024-09-03 08:11:00,227.7200,227.7200,227.5700,227.7000,1653
2024-09-03 08:12:00,227.7000,227.8000,227.6800,227.7800,2237
2024-09-03 08:13:00,227.7800,227.8000,227.6500,227.7200,887
2024-09-03 08:14:00,227.7800,227.8000,227.6500,227.7300,245
2024-09-03 08:15:00,227.7800,227.8000,227.7340,227.7900,475
2024-09-03 08:16:00,227.7900,229.0000,227.7300,227.8300,1904
2024-09-03 08:17:00,227.8200,227.9000,227.7300,227.7380,489
2024-09-03 08:18:00,227.8100,227.9300,227.7300,227.8600,4541
2024-09-03 08:19:00,227.8600,227.9900,227.7700,227.8600,618
2024-09-03 08:20:00,227.7800,227.9900,227.7304,227.9400,2621
2024-09-03 08:21:00,227.8600,227.9900,227.8091,227.8700,541
2024-09-03 08:22:00,227.9697,227.9900,227.8200,227.9500,286
2024-09-03 08:23:00,227.9900,229.0000,227.8700,227.9900,6694
2024-09-03 08:24:00,227.9300,228.1500,227.9300,228.1500,1849
2024-09-03 08:25:00,228.0500,228.1900,228.0500,228.1200,1186
2024-09-03 08:26:00,228.0500,228.1900,228.0500,228.1000,501
2024-09-03 08:27:00,228.1200,228.1200,228.0500,228.0850,4243
2024-09-03 08:28:00,228.0764,228.1000,228.0500,228.0500,406
2024-09-03 08:29:00,228.0800,228.1500,227.9900,228.1200,1572
2024-09-03 08:30:00,228.0600,228.1300,228.0500,228.1300,1373
2024-09-03 08:31:00,228.1000,228.1367,228.0525,228.1000,134
2024-09-03 08:32:00,228.1000,228.1455,228.0500,228.1000,3142
2024-09-03 08:33:00,228.1000,228.1100,227.9100,228.0000,2550
2024-09-03 08:34:00,227.9650,228.0500,227.9600,228.0000,1183
2024-09-03 08:35:00,228.0200,228.0500,227.9500,228.0000,188
2024-09-03 08:36:00,228.0500,228.0500,227.1800,228.0000,1202
2024-09-03 08:37:00,228.0000,228.1500,227.9600,228.1400,1303
2024-09-03 08:38:00,228.1400,228.2000,228.0900,228.1750,558
2024-09-03 08:39:00,228.1700,228.1905,228.0333,228.0800,1120
2024-09-03 08:40:00,228.0800,228.2435,228.0100,228.1600,1186
2024-09-03 08:41:00,228.2500,228.2500,228.1600,228.2500,303
2024-09-03 08:42:00,228.2100,228.3500,228.1900,228.3000,837
2024-09-03 08:43:00,228.3250,228.3500,228.1700,228.3500,4139
2024-09-03 08:44:00,228.3000,228.3500,228.2000,228.2000,850
2024-09-03 08:45:00,228.2750,228.5200,228.2000,228.5100,5041
2024-09-03 08:46:00,228.5000,228.5600,228.3900,228.4000,3844
2024-09-03 08:47:00,228.4400,228.5400,228.3600,228.3800,1093
2024-09-03 08:48:00,228.4000,228.4400,228.2800,228.4400,1050
2024-09-03 08:49:00,228.3600,228.4400,228.2900,228.3700,205
2024-09-03 08:50:00,228.4400,228.4400,228.3500,228.4400,344
2024-09-03 08:51:00,228.2975,228.4400,228.2900,228.3400,306
2024-09-03 08:52:00,228.3900,228.4400,228.2900,228.3500,695
2024-09-03 08:53:00,228.3100,228.4400,228.2600,228.3000,1939
2024-09-03 08:54:00,228.3500,228.4100,228.1900,228.3000,1169
2024-09-03 08:55:00,228.2600,228.3900,228.1900,228.2400,571
2024-09-03 08:56:00,228.2400,228.2900,228.0500,228.2799,508
2024-09-03 08:57:00,228.1650,228.1800,227.9100,228.0100,828
2024-09-03 08:58:00,228.0100,228.1300,227.9600,228.0100,3237
2024-09-03 08:59:00,228.0100,228.1000,227.9562,228.0000,1391
2024-09-03 09:00:00,228.0700,230.1900,227.9207,228.0950,1177
2024-09-03 09:01:00,228.0500,228.1600,227.8400,228.0900,4811
2024-09-03 09:02:00,228.0000,228.1800,227.9200,227.9680,732
2024-09-03 09:03:00,228.0150,228.1300,227.9500,228.0500,2538
2024-09-03 09:04:00,228.0600,228.2500,228.0000,228.1700,2236
2024-09-03 09:05:00,228.1700,228.2700,228.0500,228.2700,33
2024-09-03 09:06:00,228.2700,228.2700,228.0800,228.2100,396
2024-09-03 09:07:00,228.2684,228.3000,228.1803,228.2016,396
2024-09-03 09:08:00,228.2700,228.4000,228.2100,228.3600,3349
2024-09-03 09:09:00,228.3250,228.4000,228.2000,228.3000,1257
2024-09-03 09:10:00,228.3600,228.3999,228.2700,228.3500,1213
2024-09-03 09:11:00,228.3500,228.3500,228.2800,228.3150,313
2024-09-03 09:12:00,228.2950,228.3100,228.1600,228.2700,3197
2024-09-03 09:13:00,228.1600,228.3100,228.1600,228.1600,665
2024-09-03 09:14:00,228.2300,228.3093,228.1700,228.2900,1710
2024-09-03 09:15:00,228.3035,228.3300,228.1700,228.3100,4188
2024-09-03 09:16:00,228.3100,228.4400,228.2800,228.3850,4127
2024-09-03 09:17:00,228.3500,228.4400,228.3300,228.4200,897
2024-09-03 09:18:00,228.4300,228.5700,228.3800,228.3800,4174
2024-09-03 09:19:00,228.3900,228.4200,228.2100,228.3200,372
2024-09-03 09:20:00,228.4200,228.5000,228.3300,228.3503,788
2024-09-03 09:21:00,228.5000,228.5000,228.3821,228.4500,1790
2024-09-03 09:22:00,228.4400,228.4900,228.3900,228.4860,949
2024-09-03 09:23:00,228.4900,228.7000,228.4300,228.5550,4279
2024-09-03 09:24:00,228.6500,228.8500,228.4100,228.7300,4106
2024-09-03 09:25:00,228.7300,228.8500,228.3500,228.7000,6277
2024-09-03 09:26:00,228.6000,228.7000,228.6000,228.6955,3192
2024-09-03 09:27:00,228.6200,228.6994,228.0600,228.0600,20946
2024-09-03 09:28:00,228.3000,228.5400,228.3000,228.3190,2453
2024-09-03 09:29:00,228.3800,228.6700,228.3000,228.5500,14723
2024-09-03 09:30:00,228.5500,228.6450,228.1616,228.2385,1089967
2024-09-03 09:31:00,228.2600,229.0000,228.1800,228.8100,312047
2024-09-03 09:32:00,228.7900,228.8300,228.1600,228.3200,172546
2024-09-03 09:33:00,228.2900,228.4400,227.2800,227.4457,307428
2024-09-03 09:34:00,227.4100,227.4450,226.9103,227.0500,311738
2024-09-03 09:35:00,227.0350,227.1100,226.6900,226.7400,239810
2024-09-03 09:36:00,226.7500,227.1800,226.5400,227.1550,178614
2024-09-03 09:37:00,227.1400,227.6750,227.0600,227.5100,217288
2024-09-03 09:38:00,227.5272,227.6600,227.2800,227.4800,141337
2024-09-03 09:39:00,227.4800,227.4800,227.0250,227.0800,131945
2024-09-03 09:40:00,227.0800,227.1700,226.6600,226.6700,243118
2024-09-03 09:41:00,226.6643,226.8900,226.6100,226.8500,173254
2024-09-03 09:42:00,226.8200,226.8400,226.4400,226.4600,188814
2024-09-03 09:43:00,226.4800,226.5600,226.4200,226.4201,132053
2024-09-03 09:44:00,226.4258,226.5000,226.0400,226.0550,229668
2024-09-03 09:45:00,226.0400,226.0450,225.3000,225.5999,415064
2024-09-03 09:46:00,225.5800,225.7600,225.3700,225.5000,151506
2024-09-03 09:47:00,225.5200,225.6494,225.3400,225.5350,162349
2024-09-03 09:48:00,225.5500,225.8620,225.5300,225.7300,159610
2024-09-03 09:49:00,225.7550,226.1500,225.7300,226.1500,148980
2024-09-03 09:50:00,226.1200,226.1900,226.0200,226.0200,170849
2024-09-03 09:51:00,226.0200,226.0700,225.8100,225.9050,122879
2024-09-03 09:52:00,225.9200,226.4000,225.9160,226.3500,148524
2024-09-03 09:53:00,226.3500,226.6800,225.9400,225.9500,235557
2024-09-03 09:54:00,225.9401,225.9900,225.5500,225.6500,136293
2024-09-03 09:55:00,225.6600,225.7700,225.5101,225.7599,87345
2024-09-03 09:56:00,225.7300,225.9400,225.6700,225.7076,99284
2024-09-03 09:57:00,225.7200,225.9700,225.5400,225.9500,128653
2024-09-03 09:58:00,225.9400,226.2600,225.9100,226.1800,164273
2024-09-03 09:59:00,226.1900,226.2400,225.9401,226.1600,108099
2024-09-03 10:00:00,226.1900,226.2600,225.5500,225.9100,155947
2024-09-03 10:01:00,225.9100,226.4463,225.8750,226.4000,76199
2024-09-03 10:02:00,226.4000,226.4800,226.2200,226.4001,96067
2024-09-03 10:03:00,226.4000,226.4300,226.0500,226.1600,101089
2024-09-03 10:04:00,226.1600,226.1600,225.8450,225.9700,70596
2024-09-03 10:05:00,225.9700,226.2800,225.9300,226.0800,73728
2024-09-03 10:06:00,226.0800,226.0900,225.9000,225.9100,64720
2024-09-03 10:07:00,225.9200,226.0417,225.8300,225.8450,66265
2024-09-03 10:08:00,225.8600,225.8600,225.5850,225.6550,85750
2024-09-03 10:09:00,225.6401,225.8400,225.4100,225.5100,128886
2024-09-03 10:10:00,225.5350,225.5500,225.3700,225.4800,135956
2024-09-03 10:11:00,225.4650,225.6100,225.2200,225.3899,266766
2024-09-03 10:12:00,225.3900,225.3900,224.8000,225.0500,260658
2024-09-03 10:13:00,225.0400,225.0900,224.8800,225.0100,126788
2024-09-03 10:14:00,225.0200,225.0500,224.8500,224.8600,150387
2024-09-03 10:15:00,224.8700,225.0400,224.7800,224.9499,184279
2024-09-03 10:16:00,224.9400,224.9900,224.7900,224.8500,117230
2024-09-03 10:17:00,224.8500,224.9800,224.7300,224.8200,149019
2024-09-03 10:18:00,224.8400,225.2400,224.8200,225.0800,113847
2024-09-03 10:19:00,225.0900,225.2599,225.0900,225.2000,98870
2024-09-03 10:20:00,225.1900,225.3600,225.1400,225.3400,113032
2024-09-03 10:21:00,225.3500,225.4600,225.2600,225.2600,92112
2024-09-03 10:22:00,225.2750,225.5300,225.1750,225.4200,88674
2024-09-03 10:23:00,225.4200,225.5200,225.2850,225.3400,59842
2024-09-03 10:24:00,225.3450,225.4350,225.3350,225.3900,53695
2024-09-03 10:25:00,225.3700,225.4700,225.2200,225.4500,74760
2024-09-03 10:26:00,225.4700,225.5800,225.4200,225.5100,75504
2024-09-03 10:27:00,225.5200,225.6400,225.4500,225.4950,61474
2024-09-03 10:28:00,225.5100,225.5100,225.2300,225.2400,63765
2024-09-03 10:29:00,225.2500,225.3700,225.1900,225.3100,66535
2024-09-03 10:30:00,225.3050,225.3050,224.9699,224.9699,98831
2024-09-03 10:31:00,224.9700,225.0300,224.5000,224.5800,161860
2024-09-03 10:32:00,224.5900,224.6300,224.4301,224.5800,109944
2024-09-03 10:33:00,224.5800,224.9900,224.5400,224.8700,83640
2024-09-03 10:34:00,224.8800,224.9700,224.7800,224.8650,64000
2024-09-03 10:35:00,224.8600,224.8850,224.7450,224.7700,57914
2024-09-03 10:36:00,224.7501,224.8200,224.6500,224.6500,77372
2024-09-03 10:37:00,224.6600,224.6700,224.5400,224.5600,101249
2024-09-03 10:38:00,224.5600,224.5600,224.3910,224.4800,162364
2024-09-03 10:39:00,224.4800,224.7300,224.4400,224.5600,96633
2024-09-03 10:40:00,224.6000,224.6000,224.4700,224.5700,93689
2024-09-03 10:41:00,224.5900,224.8200,224.5900,224.6800,101591
2024-09-03 10:42:00,224.6700,224.7500,224.4799,224.6000,104967
2024-09-03 10:43:00,224.6000,224.7000,224.3800,224.4100,141755
2024-09-03 10:44:00,224.4190,224.4200,224.1300,224.1620,188717
2024-09-03 10:45:00,224.1800,224.1900,223.9700,224.0900,222637
2024-09-03 10:46:00,224.1000,224.2100,224.0350,224.1710,117350
2024-09-03 10:47:00,224.2000,224.3800,224.1350,224.3500,112637
2024-09-03 10:48:00,224.3600,224.4471,224.1100,224.1850,141618
2024-09-03 10:49:00,224.1900,224.3100,224.0900,224.1300,108423
2024-09-03 10:50:00,224.1200,224.4900,224.1000,224.2800,110429
2024-09-03 10:51:00,224.3000,224.3000,224.0350,224.0400,93205
2024-09-03 10:52:00,224.0400,224.0800,223.8800,224.0300,147723
2024-09-03 10:53:00,224.0300,224.1650,223.7750,223.7750,123471
2024-09-03 10:54:00,223.7750,223.8500,223.5100,223.6500,200044
2024-09-03 10:55:00,223.6401,223.8800,223.6300,223.7700,131876
2024-09-03 10:56:00,223.7300,223.8100,223.6400,223.7000,97924
2024-09-03 10:57:00,223.7100,223.7600,223.5301,223.6600,135563
2024-09-03 10:58:00,223.6503,223.7200,223.5706,223.6300,87719
2024-09-03 10:59:00,223.6300,223.7050,223.5700,223.6450,116946
2024-09-03 11:00:00,223.6500,223.8400,223.6500,223.8400,131095
2024-09-03 11:01:00,223.8200,224.2800,223.8200,224.1490,146367
2024-09-03 11:02:00,224.1500,224.1899,223.9800,224.0315,63678
2024-09-03 11:03:00,224.0350,224.2000,224.0300,224.0600,84438
2024-09-03 11:04:00,224.0600,224.2100,224.0500,224.1100,176657
2024-09-03 11:05:00,224.1150,224.2000,224.0300,224.1446,66440
2024-09-03 11:06:00,224.1400,224.2000,224.0870,224.1600,109859
2024-09-03 11:07:00,224.1600,224.4000,224.1600,224.3290,107735
2024-09-03 11:08:00,224.3224,224.5150,224.2900,224.4200,110784
