,open_MCD,high_MCD,low_MCD,close_MCD,volume_MCD
2024-08-26 14:24:00,286.4197,286.4545,286.4197,286.4545,1776
2024-08-26 14:25:00,286.4148,286.5042,286.4148,286.4545,6347
2024-08-26 14:26:00,286.4545,286.5042,286.4545,286.4694,1526
2024-08-26 14:27:00,286.4694,286.4943,286.3700,286.3700,1453
2024-08-26 14:28:00,286.4148,286.4148,286.3700,286.3700,1005
2024-08-26 14:29:00,286.3253,286.4545,286.3253,286.4545,2881
2024-08-26 14:30:00,286.4247,286.4545,286.4048,286.4545,3356
2024-08-26 14:31:00,286.4545,286.5142,286.4545,286.4645,1973
2024-08-26 14:32:00,286.4943,286.4943,286.4446,286.4794,2447
2024-08-26 14:33:00,286.4446,286.4744,286.3849,286.3849,2149
2024-08-26 14:34:00,286.3849,286.4545,286.3849,286.4347,3883
2024-08-26 14:35:00,286.4347,286.5440,286.3949,286.5142,6519
2024-08-26 14:36:00,286.5142,286.5540,286.4608,286.4893,2811
2024-08-26 14:37:00,286.5092,286.5092,286.4943,286.4943,790
2024-08-26 14:38:00,286.4943,286.4943,286.4545,286.4645,1871
2024-08-26 14:40:00,286.4645,286.4844,286.4595,286.4844,2546
2024-08-26 14:41:00,286.5241,286.5241,286.5042,286.5042,1856
2024-08-26 14:42:00,286.5042,286.5838,286.5042,286.5341,2814
2024-08-26 14:43:00,286.5540,286.5838,286.5440,286.5639,3120
2024-08-26 14:44:00,286.5937,286.6733,286.5490,286.5689,4189
2024-08-26 14:46:00,286.5639,286.5689,286.5042,286.5689,2964
2024-08-26 14:47:00,286.6235,286.6633,286.6136,286.6633,2333
2024-08-26 14:48:00,286.6285,286.6285,286.5838,286.5838,894
2024-08-26 14:49:00,286.6235,286.6335,286.5540,286.5552,1740
2024-08-26 14:50:00,286.5142,286.6335,286.4480,286.6335,4556
2024-08-26 14:52:00,286.6186,286.6186,286.6186,286.6186,773
2024-08-26 14:53:00,286.5639,286.5738,286.5341,286.5738,2726
2024-08-26 14:54:00,286.5390,286.5937,286.5390,286.5937,2436
2024-08-26 14:55:00,286.6037,286.8075,286.6037,286.8075,4054
2024-08-26 14:56:00,286.8124,286.8919,286.7926,286.8522,2737
2024-08-26 14:57:00,286.8100,286.9616,286.8075,286.9288,1860
2024-08-26 14:58:00,286.9069,286.9516,286.9019,286.9119,1989
2024-08-26 14:59:00,286.9119,286.9914,286.9119,286.9815,2320
2024-08-26 15:00:00,286.9854,287.0510,286.9616,287.0212,5211
2024-08-26 15:01:00,287.0312,287.0312,287.0312,287.0312,1353
