,open_XOM,high_XOM,low_XOM,close_XOM,volume_XOM
2024-06-18 11:44:00,108.7201,108.8491,108.7201,108.8342,79001
2024-06-18 11:45:00,108.8491,108.8689,108.7995,108.8044,28875
2024-06-18 11:46:00,108.7995,108.8739,108.7949,108.8491,14463
2024-06-18 11:47:00,108.8491,108.8491,108.7796,108.7846,18682
2024-06-18 11:48:00,108.7895,108.8193,108.7796,108.8175,22009
2024-06-18 11:49:00,108.8143,108.8987,108.8094,108.8887,33669
2024-06-18 11:50:00,108.8819,108.9631,108.8819,108.9582,29386
2024-06-18 11:51:00,108.9582,108.9979,108.9086,108.9185,23656
2024-06-18 11:52:00,108.9185,108.9185,108.8887,108.8987,15061
2024-06-18 11:53:00,108.9036,108.9036,108.8639,108.8739,18163
2024-06-18 11:54:00,108.8689,108.8739,108.8391,108.8391,16712
2024-06-18 11:55:00,108.8342,108.8639,108.8094,108.8243,14885
2024-06-18 11:56:00,108.8292,108.8292,108.7499,108.7598,19333
2024-06-18 11:57:00,108.7548,108.7598,108.7052,108.7102,11136
2024-06-18 11:58:00,108.7003,108.7003,108.6308,108.6804,34119
2024-06-18 11:59:00,108.6804,108.7003,108.6457,108.6465,30423
2024-06-18 12:00:00,108.6506,108.6803,108.6209,108.6209,28367
2024-06-18 12:01:00,108.6258,108.6308,108.5614,108.6060,21739
2024-06-18 12:02:00,108.6010,108.6060,108.5713,108.5762,12425
2024-06-18 12:03:00,108.5812,108.6159,108.5762,108.6060,29052
2024-06-18 12:04:00,108.6060,108.6110,108.5813,108.6110,13740
2024-06-18 12:05:00,108.6110,108.6258,108.4870,108.5415,32424
2024-06-18 12:06:00,108.5514,108.5564,108.5018,108.5100,21030
2024-06-18 12:07:00,108.5018,108.5068,108.4721,108.4870,15991
2024-06-18 12:08:00,108.4820,108.5118,108.4374,108.4870,24366
2024-06-18 12:09:00,108.4870,108.5266,108.4820,108.5217,23147
2024-06-18 12:10:00,108.5217,108.5614,108.5167,108.5564,20089
2024-06-18 12:11:00,108.5465,108.5514,108.4622,108.4817,23170
2024-06-18 12:12:00,108.4721,108.5514,108.4473,108.5514,24029
2024-06-18 12:13:00,108.5514,108.5663,108.4175,108.4225,53427
2024-06-18 12:14:00,108.4126,108.4126,108.3133,108.3630,81349
2024-06-18 12:15:00,108.3778,108.4175,108.3431,108.4175,36417
2024-06-18 12:16:00,108.4126,108.4324,108.3481,108.3630,17176
2024-06-18 12:17:00,108.3630,108.3977,108.3431,108.3580,30695
2024-06-18 12:18:00,108.3580,108.4026,108.3133,108.3133,29214
2024-06-18 12:19:00,108.3095,108.3381,108.2836,108.3109,19296
2024-06-18 12:20:00,108.2836,108.2885,108.1844,108.1993,29659
2024-06-18 12:21:00,108.1944,108.2191,108.1745,108.1844,24253
2024-06-18 12:22:00,108.1844,108.1943,108.1249,108.1519,33680
2024-06-18 12:23:00,108.1497,108.1794,108.1497,108.1695,25734
2024-06-18 12:24:00,108.1645,108.1695,108.1348,108.1497,25032
2024-06-18 12:25:00,108.1497,108.1899,108.1249,108.1893,25643
2024-06-18 12:26:00,108.1893,108.2737,108.1893,108.2687,25842
2024-06-18 12:27:00,108.2241,108.2439,108.1447,108.1447,56615
2024-06-18 12:28:00,108.1351,108.1645,108.0852,108.1497,47828
2024-06-18 12:29:00,108.1447,108.1745,108.1050,108.1248,28182
2024-06-18 12:30:00,108.1149,108.1149,108.0008,108.0157,19196
2024-06-18 12:31:00,108.0356,108.0604,107.9562,107.9562,39486
2024-06-18 12:32:00,107.9661,107.9909,107.9364,107.9860,28389
2024-06-18 12:33:00,107.9959,108.0108,107.9612,107.9661,45788
2024-06-18 12:34:00,107.9721,108.0157,107.9562,108.0157,23266
2024-06-18 12:35:00,108.0157,108.0157,107.9661,108.0157,41469
2024-06-18 12:36:00,108.0108,108.0554,108.0108,108.0455,25925
2024-06-18 12:37:00,108.0405,108.0405,107.9959,108.0306,23502
2024-06-18 12:38:00,108.0306,108.0753,108.0256,108.0653,26203
2024-06-18 12:39:00,108.0653,108.1001,108.0554,108.0843,16064
2024-06-18 12:40:00,108.0852,108.1745,108.0802,108.1745,29371
2024-06-18 12:41:00,108.1695,108.1844,108.1348,108.1497,20914
2024-06-18 12:42:00,108.1447,108.2389,108.1348,108.2340,28270
2024-06-18 12:43:00,108.2439,108.3026,108.2439,108.2836,41180
2024-06-18 12:44:00,108.2897,108.2935,108.2637,108.2836,16251
2024-06-18 12:45:00,108.2885,108.3034,108.2538,108.2588,19241
2024-06-18 12:46:00,108.2637,108.2836,108.2588,108.2737,13114
2024-06-18 12:47:00,108.2786,108.3084,108.2737,108.2802,19755
2024-06-18 12:48:00,108.2737,108.2836,108.2538,108.2538,23379
2024-06-18 12:49:00,108.2538,108.2687,108.1943,108.2241,38374
2024-06-18 12:50:00,108.2191,108.2241,108.1844,108.1993,17682
2024-06-18 12:51:00,108.2042,108.2141,108.1745,108.2141,13606
2024-06-18 12:52:00,108.2042,108.2290,108.1745,108.1869,12483
2024-06-18 12:53:00,108.1844,108.2042,108.1249,108.1844,19142
2024-06-18 12:54:00,108.1893,108.1943,108.1596,108.1596,14844
2024-06-18 12:55:00,108.1645,108.1745,108.1397,108.1645,25485
2024-06-18 12:56:00,108.1695,108.2191,108.1596,108.2191,17327
2024-06-18 12:57:00,108.2191,108.2290,108.1646,108.1745,16559
2024-06-18 12:58:00,108.1844,108.1893,108.1596,108.1596,11406
2024-06-18 12:59:00,108.1695,108.1695,108.1100,108.1149,22971
2024-06-18 13:00:00,108.1149,108.1149,108.0356,108.0356,37516
2024-06-18 13:01:00,108.0356,108.0885,108.0256,108.0852,23501
2024-06-18 13:02:00,108.1050,108.1149,108.0158,108.0356,20677
2024-06-18 13:03:00,108.0363,108.0604,108.0008,108.0595,21835
2024-06-18 13:04:00,108.0604,108.0852,108.0455,108.0604,16988
2024-06-18 13:05:00,108.0604,108.1447,108.0455,108.0456,35813
2024-06-18 13:06:00,108.0554,108.0604,108.0405,108.0405,12158
